ID	XL_ID	XL_ID_source	XENLA_XenBase_GeneNames	XENLA_GenBank_Description	HUMAN_UniProtID	HUMAN_GeneNames_Primary	HUMAN_GeneNames_Synonyms	eggNOG_annotation
ENOG411D0KI	Xelaev18026238m.g	Xenbase_9.1	lyplal1.L	"NA"	Q5VWZ2	LYPLAL1	"NA"	Lysophospholipase-like 1
ENOG411D0KJ	Xelaev18027215m.g	Xenbase_9.1	c6orf203.L	"NA"	Q9P0P8	C6orf203	"NA"	chromosome 6 open reading frame 203
ENOG411D0KK	Xelaev18012866m.g, Xelaev18015442m.g	Xenbase_9.1	trmt10c.L, trmt10c.S	"NA"	Q7L0Y3	TRMT10C	MRPP1 RG9MTD1	tRNA methyltransferase 10 homolog C (S. cerevisiae)
ENOG411D0KM	Xelaev18042421m.g, Xelaev18039130m.g	Xenbase_9.1	tapbp.S, tapbp.L	"NA"	O15533	TAPBP	NGS17 TAPA	TAP binding protein (tapasin)
ENOG411D0KP	Xelaev18039937m.g	Xenbase_9.1	nkx2-8.L	"NA"	O15522	NKX2-8	NKX-2.8 NKX2G NKX2H	NK2 homeobox 8
ENOG411D0KR	Xelaev18012778m.g	Xenbase_9.1	Xetrov90025825m.L	"NA"	NA	NA	NA	Integrase core domain
ENOG411D0KT	169642560, Xelaev18002315m.g, Xelaev18032673m.g, Xelaev18030450m.g, Xelaev18014077m.g	GenBank, Xenbase_9.1	NA, Xelaev18002315m.g, Xelaev18032673m.g, loc101731994.L, znf300.L	Unknown (protein for MGC:180066) [Xenopus laevis], NA	P17028	ZNF24	KOX17 ZNF191 ZSCAN3	Zinc finger protein
ENOG411D0KU	148229094, Xelaev18027174m.g	GenBank, Xenbase_9.1	NA, tube1.L	tubulin, epsilon 1 [Xenopus laevis], NA	Q9UJT0	TUBE1	TUBE	Tubulin, epsilon 1
ENOG411D0KV	147906443	GenBank	"NA"	zinc finger, CCHC domain containing 9 [Xenopus laevis]	Q8N567	ZCCHC9	"NA"	Zinc finger, CCHC domain containing 9
ENOG411D0KX	147905422, Xelaev18020416m.g, Xelaev18018465m.g	GenBank, Xenbase_9.1	NA, fem1b.S, fem1b.L	protein fem-1 homolog B [Xenopus laevis], NA	Q9UK73	FEM1B	F1AA KIAA0396	fem-1 homolog b (C. elegans)
ENOG411D0M1	Xelaev18023863m.g, Xelaev18025805m.g	Xenbase_9.1	abhd14a.L, abhd14a.S	"NA"	Q9BUJ0	ABHD14A	"NA"	abhydrolase domain containing 14A
ENOG411D0M2	Xelaev18011683m.g, Xelaev18014164m.g	Xenbase_9.1	loc100038306.L, loc100038306.S	"NA"	NA	NA	NA	One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell (By similarity)
ENOG411D0M3	147904370, Xelaev18038934m.g	GenBank, Xenbase_9.1	NA, chmp1b.L	charged multivesicular body protein 1b [Xenopus laevis], NA	Q7LBR1	CHMP1B	C18orf2	charged multivesicular body protein 1b
ENOG411D0M4	Xelaev18011389m.g, Xelaev18011388m.g, Xelaev18011390m.g, Xelaev18014362m.g, Xelaev18014364m.g, Xelaev18011387m.g, Xelaev18011385m.g	Xenbase_9.1	Xelaev18011389m.g, Xelaev18011388m.g, umodl1.L, loc100497279-like.S, Xelaev18014364m.g, loc101735103.L, Xelaev18011385m.g	"NA"	NA	NA	NA	uromodulin-like 1
ENOG411D0M6	1146114	GenBank	"NA"	POU domain protein [Xenopus laevis]	Q12837	POU4F2	BRN3B	POU class 4 homeobox 2
ENOG411D0M7	148228432, Xelaev18032591m.g	GenBank, Xenbase_9.1	NA, ap5z1.S	KIAA0415 [Xenopus laevis], NA	O43299	AP5Z1	KIAA0415 SPG48	adaptor-related protein complex 5, zeta 1 subunit
ENOG411D0M8	Xelaev18027100m.g	Xenbase_9.1	aldh8a1.L	"NA"	Q9H2A2	ALDH8A1	ALDH12	aldehyde dehydrogenase 8 family, member A1
ENOG411D0M9	Xelaev18009394m.g, Xelaev18005696m.g	Xenbase_9.1	gimd1-like.S, gimd1-like.L	"NA"	P0DJR0	GIMD1	"NA"	GIMAP family P-loop NTPase domain containing 1
ENOG411D0MA	Xelaev18031090m.g, Xelaev18033150m.g	Xenbase_9.1	cmtm6.L, cmtm6.S	"NA"	Q9NX76	CMTM6	CKLFSF6	CKLF-like MARVEL transmembrane domain containing 6
ENOG411D0MB	148223587, 56269518, Xelaev18000817m.g	GenBank, Xenbase_9.1	NA, clpp.S	ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog [Xenopus laevis], LOC496087 protein [Xenopus laevis], NA	Q16740	CLPP	"NA"	ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)
ENOG411D0MC	284521654, 284795362, 51593510, Xelaev18010358m.g	GenBank, Xenbase_9.1	NA, zmat5.S	zinc finger, matrin-type 5 [Xenopus laevis], MGC85468 protein [Xenopus laevis], NA	Q9UDW3	ZMAT5	"NA"	Zinc finger, matrin-type 5
ENOG411D0ME	Xelaev18031352m.g	Xenbase_9.1	exoc3.L	"NA"	O60645	EXOC3	SEC6 SEC6L1	Exocyst complex component 3
ENOG411D0MG	147900991, Xelaev18015672m.g, Xelaev18013151m.g	GenBank, Xenbase_9.1	NA, tgds.S, tgds.L	TDP-glucose 4,6-dehydratase [Xenopus laevis], NA	O95455	TGDS	"NA"	TDP-glucose 4,6-dehydratase
ENOG411D0MI	Xelaev18029794m.g, Xelaev18027701m.g	Xenbase_9.1	p2ry14.S, p2ry14.L	"NA"	Q15391	P2RY14	GPR105 KIAA0001	Purinergic receptor P2Y G-protein coupled 14
ENOG411D0MK	117667938, 117667940, 147904786, Xelaev18000741m.g, Xelaev18004428m.g	GenBank, Xenbase_9.1	NA, carm1.S, carm1.L	coactivator-associated arginine methyltransferase 1-a [Xenopus laevis], coactivator-associated arginine methyltransferase 1-b [Xenopus laevis], histone-arginine methyltransferase CARM1 [Xenopus laevis], NA	Q86X55	CARM1	PRMT4	Coactivator-associated arginine methyltransferase 1
ENOG411D0MM	147904475	GenBank	"NA"	chromosome 9 open reading frame 78 [Xenopus laevis]	Q9NZ63	C9orf78	HCA59	chromosome 9 open reading frame 78
ENOG411D0MN	Xelaev18013779m.g, Xelaev18016226m.g	Xenbase_9.1	mipep.L, mipep.S	"NA"	Q99797	MIPEP	MIP	Mitochondrial intermediate peptidase
ENOG411D0MQ	148228892, Xelaev18043155m.g, Xelaev18045918m.g	GenBank, Xenbase_9.1	NA, psmd3.L, psmd3.S	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3 [Xenopus laevis], NA	O43242	PSMD3	"NA"	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3
ENOG411D0MS	Xelaev18016762m.g	Xenbase_9.1	Xetrov90029958m.L	"NA"	Q9BQI9	NRIP2	"NA"	nuclear receptor interacting protein 2
ENOG411D0MT	Xelaev18033574m.g, Xelaev18031813m.g	Xenbase_9.1	ldlrad4.S, ldlrad4.L	"NA"	NA	NA	NA	low density lipoprotein receptor class A domain containing 4
ENOG411D0MU	Xelaev18006591m.g	Xenbase_9.1	loc100492058.L	"NA"	NA	NA	NA	Tetraspanin family
ENOG411D0MX	148236845, Xelaev18047729m.g, Xelaev18044193m.g, Xelaev18045476m.g	GenBank, Xenbase_9.1	NA, aqp8.S, Xelaev18044193m.g, aqp8.L	aquaporin 8 [Xenopus laevis], NA	O94778	AQP8	"NA"	Aquaporin 8
ENOG411D0MZ	Xelaev18021936m.g, Xelaev18024662m.g	Xenbase_9.1	ptpmt1.L, Xelaev18024662m.g	"NA"	Q8WUK0	PTPMT1	MOSP PLIP	Protein tyrosine phosphatase, mitochondrial 1
ENOG411D0N1	Xelaev18029112m.g	Xenbase_9.1	ust.S	"NA"	Q9Y2C2	UST	DS2ST	Uronyl-2-sulfotransferase
ENOG411D0N3	Xelaev18006260m.g, Xelaev18009791m.g	Xenbase_9.1	r3hdm4.L, r3hdm4.S	"NA"	Q96D70	R3HDM4	C19orf22	R3H domain containing 4
ENOG411D0N6	Xelaev18001471m.g, Xelaev18001469m.g, Xelaev18001511m.g, Xelaev18002378m.g, Xelaev18004538m.g, Xelaev18001513m.g, Xelaev18001470m.g, Xelaev18002374m.g, Xelaev18001491m.g	Xenbase_9.1	Xelaev18001471m.g, Xetrov90022596m.L, loc100487218.1.L, loc101733597.1.S, Xelaev18004538m.g, Xetrov90022588m.L, Xelaev18001470m.g, Xelaev18002374m.g, Xelaev18001491m.g	"NA"	Q9C000	NLRP1	CARD7 DEFCAP KIAA0926 NAC NALP1	NLR family pyrin domain containing
ENOG411D0N8	147901339, Xelaev18028480m.g, Xelaev18026519m.g	GenBank, Xenbase_9.1	NA, commd1.S, commd1.L	copper metabolism (Murr1) domain containing 1 [Xenopus laevis], NA	Q8N668	COMMD1	C2orf5 MURR1	Copper metabolism (Murr1) domain containing 1
ENOG411D0ND	118763680, Xelaev18034214m.g, Xelaev18036614m.g	GenBank, Xenbase_9.1	NA, gpam.L, gpam.S	Gpam protein [Xenopus laevis], NA	Q9HCL2	GPAM	GPAT1 KIAA1560	glycerol-3-phosphate acyltransferase, mitochondrial
ENOG411D0NE	Xelaev18029813m.g, Xelaev18027724m.g	Xenbase_9.1	xrn1.S, xrn1.L	"NA"	Q8IZH2	XRN1	SEP1	5'-3' exoribonuclease 1
ENOG411D0NF	121483782, 166359686, 213627696, Xelaev18037708m.g	GenBank, Xenbase_9.1	NA, myos-like.S	myoskeleton [Xenopus laevis], myocardin-like protein [Xenopus laevis], Unknown (protein for MGC:196801) [Xenopus laevis], NA	NA	NA	NA	SAP domain
ENOG411D0NG	148225474, 148237974, Xelaev18008334m.g, Xelaev18008333m.g	GenBank, Xenbase_9.1	NA, c6.2.L, c6.1.L	complement component 6, gene 2 precursor [Xenopus laevis], complement component 6, gene 1 precursor [Xenopus laevis], NA	P13671	C6	"NA"	complement component 6
ENOG411D0NH	114108169, Xelaev18008064m.g	GenBank, Xenbase_9.1	NA, arsk.L	Arsk protein [Xenopus laevis], NA	Q6UWY0	ARSK	TSULF	Arylsulfatase family, member K
ENOG411D0NJ	141716, 141722, 148226005, 148226368, 148233602, 214961, Xelaev18030438m.g, Xelaev18044153m.g, Xelaev18001449m.g, Xelaev18028426m.g, Xelaev18001439m.g, Xelaev18001494m.g, Xelaev18030344m.g, Xelaev18046772m.g, Xelaev18030505m.g, Xelaev18032666m.g, Xelaev18030391m.g, Xelaev18002323m.g, Xelaev18018989m.g, Xelaev18001427m.g, Xelaev18030341m.g, Xelaev18030510m.g, Xelaev18044148m.g, Xelaev18002308m.g, Xelaev18044149m.g, Xelaev18030501m.g, Xelaev18030441m.g, Xelaev18037630m.g, Xelaev18002303m.g, Xelaev18003156m.g, Xelaev18032711m.g, Xelaev18016432m.g, Xelaev18032718m.g, Xelaev18032648m.g, Xelaev18042491m.g, Xelaev18001436m.g, Xelaev18001379m.g, Xelaev18030404m.g, Xelaev18003123m.g, Xelaev18002348m.g	GenBank, Xenbase_9.1	NA, Xelaev18030438m.g, Xelaev18044153m.g, Xelaev18001449m.g, loc101732022.L, Xelaev18001439m.g, loc101732639.L, Xelaev18030344m.g, znf684.S, Xelaev18030505m.g, Xelaev18032666m.g, Xelaev18030391m.g, Xelaev18002323m.g, Xetrov90009658m.L, Xelaev18001427m.g, Xelaev18030341m.g, znf250.L, znf684.L, Xelaev18002308m.g, Xelaev18044149m.g, Xelaev18030501m.g, Xelaev18030441m.g, loc100485124.S, Xelaev18002303m.g, Xelaev18003156m.g, znf268.S, loc100496403-like.S, znf250.S, znf33a.S, znf383.S, Xelaev18001436m.g, Xelaev18001379m.g, Xelaev18030404m.g, Xelaev18003123m.g, loc101731105.1.S	RecName: Full=Oocyte zinc finger protein XlCOF2, RecName: Full=Oocyte zinc finger protein XlCOF8.4I, MGC82760 protein [Xenopus laevis], zinc finger protein 484 [Xenopus laevis], zinc finger protein 234 [Xenopus laevis], zinc finger protein [Xenopus laevis], NA	O60304, Q52M93, Q99676	ZNF500, ZNF585B, ZNF184	KIAA0557 ZKSCAN18, NA	Zinc finger protein 500
ENOG411D0NK	148229435, Xelaev18005270m.g, Xelaev18009047m.g	GenBank, Xenbase_9.1	NA, ociad2.L, ociad2.S	OCIA domain containing 2 [Xenopus laevis], NA	Q56VL3	OCIAD2	"NA"	OCIA domain containing 2
ENOG411D0NP	141717, 56270495, Xelaev18032623m.g, Xelaev18030458m.g, Xelaev18040185m.g	GenBank, Xenbase_9.1	NA, Xelaev18032623m.g, Xelaev18030458m.g, loc100485688.L	RecName: Full=Oocyte zinc finger protein XlCOF6.1, LOC496085 protein [Xenopus laevis], NA	Q8N8Y5, Q15940	ZFP41, ZNF726P1	NA, ZNF67 ZNF67P	Zinc finger protein 41
ENOG411D0NR	209969497, Xelaev18025430m.g, Xelaev18023383m.g	GenBank, Xenbase_9.1	NA, faslg.S, faslg.L	Fasl [Xenopus laevis], NA	P48023	FASLG	APT1LG1 CD95L FASL TNFSF6	Fas ligand (TNF superfamily, member 6)
ENOG411D0NS	Xelaev18013910m.g	Xenbase_9.1	Xetrov90026746m.L	"NA"	NA	NA	NA	Ankyrin repeat
ENOG411D0NT	Xelaev18008534m.g, Xelaev18045295m.g, Xelaev18021357m.g, Xelaev18045962m.g, Xelaev18017323m.g, Xelaev18008285m.g	Xenbase_9.1	Xetrov90029011m.L, Xelaev18045295m.g, gprin1.S, Xelaev18045962m.g, gprin1.L, Xelaev18008285m.g	"NA"	Q7Z2K8	GPRIN1	KIAA1893	G protein regulated inducer of neurite outgrowth 1
ENOG411D0NW	148230036	GenBank	"NA"	breast carcinoma amplified sequence 2 [Xenopus laevis]	O75934	BCAS2	DAM1	Breast carcinoma amplified sequence 2
ENOG411D0NX	Xelaev18031744m.g	Xenbase_9.1	loc100498522-like.L	"NA"	NA	NA	NA	reductase)-like
ENOG411D0P0	Xelaev18022921m.g, Xelaev18022922m.g, Xelaev18025072m.g	Xenbase_9.1	Xetrov90011630m.L, ak5.L, Xelaev18025072m.g	"NA"	Q9Y6K8	AK5	"NA"	adenylate kinase 5
ENOG411D0P2	Xelaev18007858m.g, Xelaev18010664m.g	Xenbase_9.1	fam109a.L, fam109a.S	"NA"	Q8N4B1	PHETA1	FAM109A	family with sequence similarity 109, member A
ENOG411D0P3	Xelaev18007399m.g	Xenbase_9.1	zp3.2.L	"NA"	NA	NA	NA	Zona pellucida-like domain
ENOG411D0P4	Xelaev18026047m.g, Xelaev18004257m.g	Xenbase_9.1	slmap.S, slmap.L	"NA"	Q14BN4	SLMAP	KIAA1601 SLAP	sarcolemma associated protein
ENOG411D0P7	118136240, Xelaev18014900m.g, Xelaev18012305m.g, Xelaev18012304m.g	GenBank, Xenbase_9.1	NA, loc100492428.S, loc101734700.L, pigr.L	polymeric immunoglobulin receptor [Xenopus laevis], NA	P01833	PIGR	"NA"	polymeric immunoglobulin receptor
ENOG411D0P8	49115943, 71679790, Xelaev18046814m.g, Xelaev18044199m.g	GenBank, Xenbase_9.1	NA, loc100493941-like.S, loc100493941-like.L	LOC443683 protein [Xenopus laevis], NA	NA	NA	NA	TBC1 domain family member 24-like
ENOG411D0PA	Xelaev18009563m.g, Xelaev18031469m.g	Xenbase_9.1	None	"NA"	NA	NA	NA	Inherit from KOG: Retrotransposon protein
ENOG411D0PD	148226290, Xelaev18020653m.g, Xelaev18018186m.g	GenBank, Xenbase_9.1	NA, pigb.S, pigb.L	GPI mannosyltransferase 3 [Xenopus laevis], NA	Q92521	PIGB	"NA"	phosphatidylinositol glycan anchor biosynthesis, class B
ENOG411D0PE	125858798, 147907058, 47937763, Xelaev18014144m.g, Xelaev18011718m.g	GenBank, Xenbase_9.1	NA, poldip2.S, poldip2.L	LOC100037208 protein [Xenopus laevis], polymerase (DNA-directed), delta interacting protein 2 [Xenopus laevis], LOC432266 protein [Xenopus laevis], NA	Q9Y2S7	POLDIP2	PDIP38 POLD4	polymerase (DNA-directed), delta interacting protein 2
ENOG411D0PI	Xelaev18039005m.g	Xenbase_9.1	loc100127779.L	"NA"	A6NGH7	CCDC160	"NA"	coiled-coil domain containing 160
ENOG411D0PK	148231502, 34811658, Xelaev18013556m.g	GenBank, Xenbase_9.1	NA, smug1.L	single-strand selective monofunctional uracil DNA glycosylase [Xenopus laevis], Chain A, Xenopus Smug1, An Anti-Mutator Uracil-Dna Glycosylase, NA	Q53HV7	SMUG1	"NA"	single-strand-selective monofunctional uracil-DNA glycosylase 1
ENOG411D0PN	116487664, 15029038, 15029064, Xelaev18039930m.g, Xelaev18044739m.g	GenBank, Xenbase_9.1	NA, Xelaev18039930m.g, hoxd9.L	Unknown (protein for MGC:154499) [Xenopus laevis], homeobox protein, Hoxd9 [Xenopus laevis], homebox protein Hoxa9 [Xenopus laevis], NA	P28356	HOXD9	HOX4C	homeobox D9
ENOG411D0PQ	14423631, 213623900, 213626905, 2231337, Xelaev18032937m.g, Xelaev18030825m.g, Xelaev18032939m.g	GenBank, Xenbase_9.1	NA, Xelaev18032937m.g, Xelaev18030825m.g, Xelaev18032939m.g	RecName: Full=Disintegrin and metalloproteinase domain-containing protein 22; Short=ADAM 22; AltName: Full=MDC11.2; AltName: Full=Metalloprotease-disintegrin MDC11b; Flags: Precursor, MDC11b protein [Xenopus laevis], metalloprotease/disintegrin xMDC11.2 [Xenopus laevis], NA	Q9P0K1	ADAM22	MDC2	ADAM metallopeptidase domain 22
ENOG411D0PR	125858623, 163915943, Xelaev18046531m.g	GenBank, Xenbase_9.1	NA, rgs9bp.S	LOC100037203 protein [Xenopus laevis], NA	NA	NA	NA	Regulator of G protein-coupled receptor (GPCR) signaling. Probably acts by regulating the activity of some 'R7' family protein (RGS6, RGS7, RGS9 and or RGS11)
ENOG411D0PS	Xelaev18016393m.g, Xelaev18014093m.g	Xenbase_9.1	lrrc32.1.S, lrrc32.1.L	"NA"	Q14392	LRRC32	D11S833E	leucine rich repeat containing 32
ENOG411D0PU	164633071	GenBank	"NA"	ASAP [Xenopus laevis]	Q49MG5	MAP9	ASAP	Microtubule-associated protein 9
ENOG411D0PX	Xelaev18041980m.g, Xelaev18001986m.g, Xelaev18001987m.g, Xelaev18002940m.g	Xenbase_9.1	Xetrov90002034m.S, Xelaev18001986m.g, Xetrov90017978m.S, Xelaev18002940m.g	"NA"	NA	NA	NA	Inherit from meNOG: to zinc finger, MYM domain containing 1 Hydra magnipapillata
ENOG411D0PY	114107768, 148232575, Xelaev18009879m.g, Xelaev18006378m.g, Xelaev18009880m.g	GenBank, Xenbase_9.1	NA, loc100497159-like.S, mpv17l2.L, mpv17l2.S	MGC154358 protein [Xenopus laevis], MPV17 mitochondrial membrane protein-like 2 [Xenopus laevis], NA	Q567V2	MPV17L2	FKSG24	MPV17 mitochondrial membrane protein-like 2
ENOG411D0Q0	Xelaev18022233m.g, Xelaev18024214m.g	Xenbase_9.1	c11orf95.L, c11orf95.S	"NA"	C9JLR9	C11orf95	"NA"	protein C11orf95 homolog
ENOG411D0Q5	146327105, 161611776, Xelaev18041405m.g, Xelaev18038146m.g	GenBank, Xenbase_9.1	NA, timp-1.S, timp-1.L	LOC100049771 protein [Xenopus laevis], NA	P01033	TIMP1	CLGI TIMP	TIMP metallopeptidase inhibitor 1
ENOG411D0Q8	146760800, Xelaev18045062m.g, Xelaev18002411m.g, Xelaev18046399m.g, Xelaev18047437m.g	GenBank, Xenbase_9.1	NA, kcnj12.L, kcnj2.L, kcnj2.S, kcnj12.S	potassium inwardly-rectifying channel Kir2.1 [Xenopus laevis], NA	Q14500, B7U540, P63252	KCNJ12, KCNJ18, KCNJ2	IRK2 KCNJN1, NA, IRK1	Potassium inwardly-rectifying channel, subfamily J, member
ENOG411D0QE	76779975, Xelaev18040997m.g	GenBank, Xenbase_9.1	NA, loc100496728.S	LOC733352 protein [Xenopus laevis], NA	Q96NT0	CCDC115	"NA"	Coiled-coil domain containing 115
ENOG411D0QG	Xelaev18017839m.g	Xenbase_9.1	loc100493797.L	"NA"	Q86TJ5	ZNF554	"NA"	Zinc finger protein 554
ENOG411D0QI	118835731, Xelaev18001329m.g, Xelaev18002260m.g	GenBank, Xenbase_9.1	NA, sgf29.L, sgf29.S	LOC100036819 protein [Xenopus laevis], NA	Q96ES7	SGF29	CCDC101	Coiled-coil domain containing 101
ENOG411D0QJ	Xelaev18043297m.g	Xenbase_9.1	sgca.L	"NA"	Q16586	SGCA	ADL DAG2	sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)
ENOG411D0QM	146772483, 187708814, Xelaev18030040m.g	GenBank, Xenbase_9.1	NA, tpo.S	thyroid peroxidase [Xenopus laevis], NA	P07202	TPO	"NA"	Thyroid peroxidase
ENOG411D0QR	Xelaev18020065m.g	Xenbase_9.1	None	"NA"	NA	NA	NA	NA
ENOG411D0QU	115311868, 40715951, 50415103	GenBank	"NA"	RecName: Full=Kinetochore protein Spc25; Short=xSpc25, kinetochore protein Spc25 [Xenopus laevis], LOC100101271 protein [Xenopus laevis]	Q9HBM1	SPC25	SPBC25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)
ENOG411D0QX	Xelaev18045141m.g	Xenbase_9.1	loc100496911.L	"NA"	Q6ZTK2, M0QZD8	NA, LOC400499	"NA"	NA
ENOG411D0QZ	Xelaev18044592m.g, Xelaev18047110m.g	Xenbase_9.1	ermn.L, ermn.S	"NA"	Q8TAM6	ERMN	KIAA1189	ermin, ERM-like protein
ENOG411D0R2	Xelaev18043922m.g, Xelaev18004671m.g	Xenbase_9.1	ggt7.L, ggt7.S	"NA"	Q9UJ14	GGT7	GGTL3 GGTL5	Gamma-glutamyltransferase 7
ENOG411D0R3	148223377, Xelaev18018767m.g	GenBank, Xenbase_9.1	NA, pdlim2.L	PDZ and LIM domain 2 (mystique) [Xenopus laevis], NA	Q96JY6	PDLIM2	"NA"	PDZ and LIM domain 2 (mystique)
ENOG411D0R6	147904384, Xelaev18041039m.g	GenBank, Xenbase_9.1	NA, fam177a1.S	family with sequence similarity 177, member A1 [Xenopus laevis], NA	Q8N128	FAM177A1	C14orf24	family with sequence similarity 177, member A1
ENOG411D0R8	Xelaev18021872m.g, Xelaev18024481m.g	Xenbase_9.1	atg13.L, atg13.S	"NA"	O75143	ATG13	KIAA0652	autophagy related 13
ENOG411D0R9	Xelaev18014123m.g, Xelaev18011766m.g, Xelaev18011765m.g, Xelaev18014122m.g	Xenbase_9.1	Xelaev18014123m.g, Xelaev18011766m.g, loc105946661.L, loc101732217.S	"NA"	P15509	CSF2RA	CSF2R CSF2RY	Colony stimulating factor 2 receptor, alpha, low-affinity (Granulocyte-macrophage)
ENOG411D0RA	148237864, Xelaev18022600m.g, Xelaev18024897m.g	GenBank, Xenbase_9.1	NA, alg13.L, alg13.S	asparagine-linked glycosylation 13 homolog [Xenopus laevis], NA	NA	NA	NA	UDP-N-acetylglucosamine transferase subunit ALG13 homolog
ENOG411D0RC	147900464, Xelaev18028654m.g	GenBank, Xenbase_9.1	NA, slc39a9-like.1.S	uncharacterized protein LOC379242 [Xenopus laevis], NA	NA	NA	NA	ZIP Zinc transporter
ENOG411D0RD	Xelaev18046146m.g, Xelaev18011924m.g	Xenbase_9.1	Xetrov90025291m.S, loc100495163.L	"NA"	NA	NA	NA	Immunoglobulin C1-set domain
ENOG411D0RE	122936434, Xelaev18046238m.g, Xelaev18043530m.g	GenBank, Xenbase_9.1	NA, taf4.S, taf4.L	LOC100037075 protein [Xenopus laevis], NA	O00268	TAF4	TAF2C TAF2C1 TAF4A TAFII130 TAFII135	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa
ENOG411D0RG	148229967, Xelaev18044511m.g, Xelaev18044514m.g	GenBank, Xenbase_9.1	NA, Xelaev18044511m.g, Xelaev18044514m.g	mitochondrial chaperone BCS1 [Xenopus laevis], NA	Q9Y276	BCS1L	BCS1	BC1 (ubiquinol-cytochrome c reductase) synthesis-like
ENOG411D0RH	112419050, Xelaev18036024m.g, Xelaev18037761m.g	GenBank, Xenbase_9.1	NA, apoe.L, apoe.S	Unknown (protein for IMAGE:8073253) [Xenopus laevis], NA	P02649	APOE	"NA"	Mediates the binding, internalization, and catabolism of lipoprotein particles. It can serve as a ligand for the LDL (apo B E) receptor and for the specific apo-E receptor (chylomicron remnant) of hepatic tissues
ENOG411D0RI	147903503, Xelaev18020751m.g, Xelaev18018072m.g	GenBank, Xenbase_9.1	NA, edc3.S, edc3.L	enhancer of mRNA-decapping protein 3 [Xenopus laevis], NA	Q96F86	EDC3	LSM16 YJDC YJEFN2	enhancer of mRNA decapping 3 homolog (S. cerevisiae)
ENOG411D0RJ	148238118, Xelaev18021810m.g	GenBank, Xenbase_9.1	NA, alkbh3.L	alkB, alkylation repair homolog 3 [Xenopus laevis], NA	Q96Q83	ALKBH3	ABH3 DEPC1	alkB, alkylation repair homolog 3 (E. coli)
ENOG411D0RN	Xelaev18024062m.g, Xelaev18025975m.g	Xenbase_9.1	loc100498424.L, loc100498424.S	"NA"	NA	NA	NA	ankyrin repeat
ENOG411D0RP	Xelaev18047524m.g, Xelaev18045203m.g	Xenbase_9.1	itpripl2.S, itpripl2.L	"NA"	Q3MIP1	ITPRIPL2	"NA"	Inositol 1,4,5-trisphosphate receptor interacting protein-like 2
ENOG411D0RT	148236127, Xelaev18010964m.g	GenBank, Xenbase_9.1	NA, arl15.S	ADP-ribosylation factor-like 15 [Xenopus laevis], NA	Q9NXU5	ARL15	ARFRP2	ADP-ribosylation factor-like 15
ENOG411D0RU	Xelaev18042334m.g, Xelaev18039026m.g	Xenbase_9.1	tmtops.S, tmtops.L	"NA"	NA	NA	NA	K04256 c-opsin
ENOG411D0RV	49670406, Xelaev18021410m.g, Xelaev18017255m.g	GenBank, Xenbase_9.1	NA, rpl26.S, rpl26.L	Unknown (protein for MGC:81816) [Xenopus laevis], NA	P61254, Q9UNX3	RPL26, RPL26L1	NA, RPL26P1	ribosomal protein
ENOG411D0RW	10129814, 114401, 147903986, 147904499, 148234585, 28279355, 9837363, Xelaev18019679m.g, Xelaev18029958m.g, Xelaev18001092m.g	GenBank, Xenbase_9.1	NA, Xelaev18019679m.g, atp1b3.S, Xelaev18001092m.g	Na,K-ATPase beta-2 subunit [Xenopus laevis], RecName: Full=Sodium/potassium-transporting ATPase subunit beta-3; AltName: Full=Sodium/potassium-dependent ATPase subunit beta-3; Short=ATPB-3, ATPase, Na+/K+ transporting, beta 2 polypeptide [Xenopus laevis], sodium/potassium-transporting ATPase subunit beta-3 [Xenopus laevis], ATPase, Na+/K+ transporting, beta 3 polypeptide [Xenopus laevis], Atp1b2 protein [Xenopus laevis], Na/K ATPase beta subunit [Xenopus laevis], NA	P14415, P54709	ATP1B2, ATP1B3	"NA"	ATPase, Na K transporting, beta
ENOG411D0RX	Xelaev18035394m.g	Xenbase_9.1	ccdc153-like.L	"NA"	Q494R4	CCDC153	"NA"	coiled-coil domain containing 153
ENOG411D0S1	73544696, Xelaev18025119m.g, Xelaev18022983m.g, Xelaev18025118m.g	GenBank, Xenbase_9.1	NA, Xetrov90011787m.S, lepr.L, lepr.S	leptin receptor [Xenopus laevis], NA	P48357	LEPR	DB OBR	Leptin receptor
ENOG411D0S2	13507041, 13507043, 148234785, Xelaev18045454m.g, Xelaev18047710m.g	GenBank, Xenbase_9.1	NA, glis2.L, glis2.S	Gli-Kruppel zinc-finger protein NKL isoform a [Xenopus laevis], Gli-Kruppel zinc-finger protein NKL isoform b [Xenopus laevis], zinc finger protein GLIS2 [Xenopus laevis], NA	Q9BZE0	GLIS2	NKL	GLIS family zinc finger 2
ENOG411D0S4	Xelaev18043101m.g, Xelaev18045873m.g	Xenbase_9.1	hap1.L, hap1.S	"NA"	NA	NA	NA	huntingtin-associated protein 1
